# Last updated from batch 96 (v0.1.90) — 2026-09-15,,,,
Keyword,Kind,Platform,Status,Impl
#ALIGN METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#BLOAT METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#BREAK METASTATEMENT,STATEMENT,PB/CC only,Established,IMPLEMENTED
#COM METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#COMPILE METASTATEMENT,STATEMENT,PB/Win only,Established,IMPLEMENTED
#COMPILER METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#CONSOLE METASTATEMENT,STATEMENT,PB/CC only,Established,IMPLEMENTED
#DEBUG BOUNDS METASTATEMENT,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
#DEBUG CODE METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#DEBUG DISPLAY METASTATEMENT,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
#DEBUG ERROR METASTATEMENT,STATEMENT,PB/Win + PB/CC,Proposed Improvement,IMPLEMENTED
#DEBUG NUMERIC METASTATEMENT,STATEMENT,PB/Win + PB/CC,Proposed New,IMPLEMENTED
#DEBUG PRINT METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#DIM METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#EXPORT METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#IF/#ELSEIF/#ELSE/#ENDIF METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#INCLUDE METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#LINK METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
#MESSAGES METASTATEMENT,STATEMENT,PB/Win only,Established,IMPLEMENTED
#OPTIMIZE METASTATEMENT,STATEMENT,PB/Win + PB/CC,Established,IMPLEMENTED
